sample-id	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	collection_date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	env_biome	env_feature	env_material	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Host	Family	Order	Life_trait	Instrument	Isolation_source	lat_lon	lat_dec	lon_dec	Library Name	LibraryLayout	LibrarySelection	Region	LibrarySource	misc_param	Organism	Platform	ReleaseDate	Sample Name	SRA Study	Altitude (m)	Ann_mean_temp	Ann_mean_precip	Precip_Rainy	Precip_Dry	Main_Text	pH	C (%)	N (ug g-1)	P (ug g-1)	K (ug g-1)	EC (mS/m)	Strategy	Soils	Sand (%)	Silt (%)	Clay (%)	Texture	Density (kg/dm3)	Gravel (%)	Organic_C (%w)	CEC_clay  (cmol/kg)	CEC_soil (cmol/kg)	Saturation (%)	TEB (cmol/kg)	CaCO (%w)	Gypsum (%w)	Sodicity (%)
SRR14654858	AMPLICON	463	596517	PRJNA309754	SAMN04419087	MIMS.me,MIGS/MIMS/MIMARKS.plant-associated	1400008	FORMAN CHRISTIAN COLLEGE	12/11/2014	public	sff,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	agricultural field	Rhizosphere	soil	SRX10993385	Pakistan	Afroeurasia	Pakistan: Khewran	Kochia indica	Chenopodiaceae	Caryophyllales	Perennial	454 GS FLX Titanium	Moderately saline soil	73.08 N 31.38 E	31.38	73.08	soil microbiome5	SINGLE	PCR	v3/v4	METAGENOMIC	Kochia indica1	rhizosphere metagenome	LS454	miércoles, 26 de mayo de 2021	Kochia indica1	SRP321293	185	23.8875	360	235	16	Silty loam	8.16	32.95	13.12	2.56	0.45	3.57	Halophyte	CL	39	37	24	loam	1.46	20	0.37	45	15	100	24	26	0.1	8
SRR3108963	AMPLICON	502	29408164	PRJNA308956	SAMN04418122	MIMARKS.survey,MIGS/MIMS/MIMARKS.plant-associated	15682738	USDA-ARS	04/06/2012	public	fastq,sra	gs,s3,ncbi	ncbi.public,gs.US,s3.us-east-1	desert	Rhizosphere	Soil	SRX1537273	Mexico	North America	Mexico: Las Animas	Myrtillocactus geometrizans	Cactaceae	Caryophyllales	Perennial	Illumina MiSeq	Xerophyte Rhizosphere	21.05 N 100.17 W	21.05	-100.17	28896	PAIRED	PCR	v4	METAGENOMIC	MG-1-RHIZO-SPR-mg_16S_1	rhizosphere metagenome	ILLUMINA	lunes, 25 de enero de 2016	MG-1-RHIZO-SPR-mg_16S	SRP068631	2175	18.3	485	355	130	Sandy loam	5.79	3.97	8.76	18.11	64.35	10	Xerophyte	PH	25	35	40	light clay	1.18	4	2.74	21	18	90	16.2	0.2	0.1	1
SRR3108968	AMPLICON	502	45061528	PRJNA308956	SAMN04418126	MIMARKS.survey,MIGS/MIMS/MIMARKS.plant-associated	23658428	USDA-ARS	30/05/2012	public	sra,fastq	gs,s3,ncbi	ncbi.public,gs.US,s3.us-east-1	desert	Rhizosphere	Soil	SRX1537278	Mexico	North America	Mexico: El Jaral	Myrtillocactus geometrizans	Cactaceae	Caryophyllales	Perennial	Illumina MiSeq	Xerophyte Rhizosphere	21.40 N 101.02 W	21.4	-101.02	28920	PAIRED	PCR	v4	METAGENOMIC	SF-1-RHIZO-SPR-mg_16S_1	rhizosphere metagenome	ILLUMINA	lunes, 25 de enero de 2016	SF-1-RHIZO-SPR-mg_16S	SRP068631	2089	17	204.5	136.5	68	Sandy loam	6.25	0.71	12.65	4.53	251.7	10	Xerophyte	CL	78	15	7	loam	1.53	28	0.26	83	6	100	6	8.4	0.1	3
SRR3108969	AMPLICON	502	51301890	PRJNA308956	SAMN04418127	MIMARKS.survey,MIGS/MIMS/MIMARKS.plant-associated	27551790	USDA-ARS	12/10/2012	public	fastq,sra	ncbi,gs,s3	ncbi.public,gs.US,s3.us-east-1	desert	Rhizosphere	Soil	SRX1537279	Mexico	North America	Mexico: El Jaral	Myrtillocactus geometrizans	Cactaceae	Caryophyllales	Perennial	Illumina MiSeq	Xerophyte Rhizosphere	21.40 N 101.02 W	21.4	-101.02	28921	PAIRED	PCR	v4	METAGENOMIC	SF-1-RHIZO-SUM-mg_16S_1	rhizosphere metagenome	ILLUMINA	lunes, 25 de enero de 2016	SF-1-RHIZO-SUM-mg_16S	SRP068631	2089	17	204.5	136.5	68	Sandy loam	6.25	0.71	12.65	4.53	251.7	10	Xerophyte	CL	78	15	7	loam	1.53	28	0.26	83	6	100	6	8.4	0.1	3
SRR3108998	AMPLICON	502	14636312	PRJNA308956	SAMN04418109	MIMARKS.survey,MIGS/MIMS/MIMARKS.plant-associated	7529972	USDA-ARS	10/10/2012	public	sra,fastq	ncbi,gs,s3	ncbi.public,gs.US,s3.us-east-1	desert	Rhizosphere	Soil	SRX1537308	Mexico	North America	Mexico: Las Animas	Myrtillocactus geometrizans	Cactaceae	Caryophyllales	Perennial	Illumina MiSeq	Xerophyte Rhizosphere	21.05 N 100.17 W	21.05	-100.17	28774	PAIRED	PCR	v4	METAGENOMIC	MG-1-RHIZO-SUM-mg_16S_1	rhizosphere metagenome	ILLUMINA	lunes, 25 de enero de 2016	MG-1-RHIZO-SUM-mg_16S	SRP068631	2175	18.3	485	355	130	Sandy loam	5.79	3.97	8.76	18.11	64.35	10	Xerophyte	PH	25	35	40	light clay	1.18	4	2.74	21	18	90	16.2	0.2	0.1	1
SRR8365816	OTHER	590	56918769	PRJNA511384	SAMN10639366	MIMS.me,MIGS/MIMS/MIMARKS.plant-associated	33029342	CENTRE OF BIOTECHNOLOGY OF BORJ CEDRIA (TUNISIA)	01/04/2015	public	fastq,sra	ncbi,s3,gs	s3.us-east-1,ncbi.public,gs.US	agricultural field	Rhizosphere	Soil	SRX5176247	Tunisia	Afroeurasia	Tunisia:Kairouan	Opuntia ficus-indica	Cactaceae	Caryophyllales	Perennial	Illumina MiSeq	Root of Opuntia ficus indica 2	35.39 N 9.28 E	35.39	9.28	R2_S72_Upper_Arid_KA_2_Root_Spineless	PAIRED	PCR	v3/v4	METAGENOMIC	biological replicate 2	plant metagenome	ILLUMINA	martes, 9 de junio de 2020	R2_S72_Upper_Arid_KA_2_Root_Spineless	SRP174342	593	18.28333	314	96	38	na	6.65	1.34	0.56	13.33	98.48	7.7	Xerophyte	CL	74	13	13	sandy loam	1.4	21	1	8	5	100	5	43.4	0.2	5
SRR8365817	OTHER	595	79271054	PRJNA511384	SAMN10639365	MIMS.me,MIGS/MIMS/MIMARKS.plant-associated	46637834	CENTRE OF BIOTECHNOLOGY OF BORJ CEDRIA (TUNISIA)	01/04/2015	public	sra,fastq	gs,ncbi,s3	ncbi.public,s3.us-east-1,gs.US	agricultural field	Rhizosphere	Soil	SRX5176246	Tunisia	Afroeurasia	Tunisia:Kairouan	Opuntia ficus-indica	Cactaceae	Caryophyllales	Perennial	Illumina MiSeq	Root of Opuntia ficus indica 1	35.38 N 9.3 E	35.38	9.3	R1_S71_Upper_Arid_KA_1_Root_Spineless	PAIRED	PCR	v3/v4	METAGENOMIC	biological replicate 1	plant metagenome	ILLUMINA	martes, 9 de junio de 2020	R1_S71_Upper_Arid_KA_1_Root_Spineless	SRP174342	513	18.7625	300	90	36	na	6.68	0.52	0.46	1.3	88.29	2.35	Xerophyte	CL	74	13	13	sandy loam	1.4	21	1	8	5	100	5	43.4	0.2	5
SRR8365826	OTHER	449	39148758	PRJNA511384	SAMN10639380	MIMS.me,MIGS/MIMS/MIMARKS.plant-associated	22103497	CENTRE OF BIOTECHNOLOGY OF BORJ CEDRIA (TUNISIA)	01/04/2015	public	fastq,sra	gs,ncbi,s3	s3.us-east-1,ncbi.public,gs.US	agricultural field	Rhizosphere	Soil	SRX5176236	Tunisia	Afroeurasia	Tunisia:Bou Argoub	Opuntia ficus-indica	Cactaceae	Caryophyllales	Perennial	Illumina MiSeq	Root of Opuntia ficus indica 16	36.50 N 10.52 E	36.5	10.52	R16_S83_Semi_Arid_BA_1_Root_Spineless	PAIRED	PCR	v3/v4	METAGENOMIC	biological replicate 1	plant metagenome	ILLUMINA	martes, 9 de junio de 2020	R16_S83_Semi_Arid_BA_1_Root_Spineless	SRP174342	169	18.77917	483	192	24	na	7.88	1.72	0.39	22.7	86.19	8.8	Xerophyte	RG	69	18	13	sandy loam	1.22	18	0.45	37	7	90	6	0	1	2
SRR8365827	OTHER	341	23002670	PRJNA511384	SAMN10639378	MIMS.me,MIGS/MIMS/MIMARKS.plant-associated	13235579	CENTRE OF BIOTECHNOLOGY OF BORJ CEDRIA (TUNISIA)	01/04/2015	public	sra,fastq	gs,ncbi,s3	ncbi.public,gs.US,s3.us-east-1	agricultural field	Rhizosphere	Soil	SRX5176234	Tunisia	Afroeurasia	Tunisia:Gafsa	Opuntia ficus-indica	Cactaceae	Caryophyllales	Perennial	Illumina MiSeq	Root of Opuntia ficus indica 14	34.15 N 9.17 E	34.15	9.17	R14_S82_Lower_Arid_GF_2_Root_Spineless	PAIRED	PCR	v3/v4	METAGENOMIC	biological replicate 2	plant metagenome	ILLUMINA	martes, 9 de junio de 2020	R14_S82_Lower_Arid_GF_2_Root_Spineless	SRP174342	221	20.06667	145	53	8	na	8.22	2.224	0.61	3.16	131.03	8	Xerophyte	LP	52	28	20	loam	1.3	19	0.22	62	13	89	11.6	5	0.1	1
SRR8365828	OTHER	339	55297146	PRJNA511384	SAMN10639377	MIMS.me,MIGS/MIMS/MIMARKS.plant-associated	31653524	CENTRE OF BIOTECHNOLOGY OF BORJ CEDRIA (TUNISIA)	01/04/2015	public	sra,fastq	gs,ncbi,s3	ncbi.public,gs.US,s3.us-east-1	agricultural field	Rhizosphere	Soil	SRX5176233	Tunisia	Afroeurasia	Tunisia:Gafsa	Opuntia ficus-indica	Cactaceae	Caryophyllales	Perennial	Illumina MiSeq	Root of Opuntia ficus indica 13	34.15 N 9.17 E	34.15	9.17	R13_S81_Lower_Arid_GF_1_Root_Spineless	PAIRED	PCR	v3/v4	METAGENOMIC	biological replicate 1	plant metagenome	ILLUMINA	martes, 9 de junio de 2020	R13_S81_Lower_Arid_GF_1_Root_Spineless	SRP174342	221	20.06667	145	53	8	na	8.22	2.224	0.61	3.16	131.03	8	Xerophyte	LP	52	28	20	loam	1.3	19	0.22	62	13	89	11.6	5	0.1	1
SRR8365829	OTHER	594	16528372	PRJNA511384	SAMN10639379	MIMS.me,MIGS/MIMS/MIMARKS.plant-associated	9899862	CENTRE OF BIOTECHNOLOGY OF BORJ CEDRIA (TUNISIA)	01/04/2015	public	fastq,sra	s3,gs,ncbi	ncbi.public,s3.us-east-1,gs.US	agricultural field	Rhizosphere	Soil	SRX5176235	Tunisia	Afroeurasia	Tunisia:Gafsa	Opuntia ficus-indica	Cactaceae	Caryophyllales	Perennial	Illumina MiSeq	Root of Opuntia ficus indica 15	35.55 N 10.17 E	35.55	10.17	R15_S30_Lower_Arid_GF_3_Root_Spineless	PAIRED	PCR	v3/v4	METAGENOMIC	biological replicate 3	plant metagenome	ILLUMINA	martes, 9 de junio de 2020	R15_S30_Lower_Arid_GF_3_Root_Spineless	SRP174342	77	19.57083	290	111	23	na	8.34	1.96	0.57	6.64	131.03	7.75	Xerophyte	SN	5	32	63	heavy clay	1.47	3	0.38	44	29	100	28.7	29.1	2	23
SRR8365832	OTHER	571	44841457	PRJNA511384	SAMN10639383	MIMS.me,MIGS/MIMS/MIMARKS.plant-associated	25914042	CENTRE OF BIOTECHNOLOGY OF BORJ CEDRIA (TUNISIA)	01/04/2015	public	fastq,sra	gs,ncbi,s3	s3.us-east-1,ncbi.public,gs.US	agricultural field	Rhizosphere	Soil	SRX5176231	Tunisia	Afroeurasia	Tunisia:Bizerte	Opuntia ficus-indica	Cactaceae	Caryophyllales	Perennial	Illumina MiSeq	Root of Opuntia ficus indica 19	37.12 N 9.54 E	37.12	9.54	R19_S86_Humid_BZ_1_Root_Spineless	PAIRED	PCR	v3/v4	METAGENOMIC	biological replicate 1	plant metagenome	ILLUMINA	martes, 9 de junio de 2020	R19_S86_Humid_BZ_1_Root_Spineless	SRP174342	13	17.975	625	270	24	na	7.43	4.44	0.45	13.01	78.88	19.8	Xerophyte	VR	18	30	52	light clay	1.55	3	1.63	37	25	100	25	2.3	0.1	11
SRR8365833	OTHER	567	40182664	PRJNA511384	SAMN10639382	MIMS.me,MIGS/MIMS/MIMARKS.plant-associated	22934114	CENTRE OF BIOTECHNOLOGY OF BORJ CEDRIA (TUNISIA)	01/04/2015	public	fastq,sra	ncbi,s3,gs	gs.US,s3.us-east-1,ncbi.public	agricultural field	Rhizosphere	Soil	SRX5176230	Tunisia	Afroeurasia	Tunisia:Bou Argoub	Opuntia ficus-indica	Cactaceae	Caryophyllales	Perennial	Illumina MiSeq	Root of Opuntia ficus indica 18	36.50 N 10.43 E	36.5	10.43	R18_S85_Semi_Arid_BA_3_Root_Spineless	PAIRED	PCR	v3/v4	METAGENOMIC	biological replicate 3	plant metagenome	ILLUMINA	martes, 9 de junio de 2020	R18_S85_Semi_Arid_BA_3_Root_Spineless	SRP174342	292	17.9875	518	204	29	na	7.36	0.99	0.545	13.92	94.91	4.87	Xerophyte	VR	33	24	43	light clay	1.4	4	1.25	56	28	100	28.3	7.6	0.2	2
SRR8365834	OTHER	520	39429987	PRJNA511384	SAMN10639381	MIMS.me,MIGS/MIMS/MIMARKS.plant-associated	22353225	CENTRE OF BIOTECHNOLOGY OF BORJ CEDRIA (TUNISIA)	01/04/2015	public	fastq,sra	gs,s3,ncbi	ncbi.public,s3.us-east-1,gs.US	agricultural field	Rhizosphere	Soil	SRX5176229	Tunisia	Afroeurasia	Tunisia:Bou Argoub	Opuntia ficus-indica	Cactaceae	Caryophyllales	Perennial	Illumina MiSeq	Root of Opuntia ficus indica 17	36.50 N 10.41 E	36.5	10.41	R17_S84_Semi_Arid_BA_2_Root_Spineless	PAIRED	PCR	v3/v4	METAGENOMIC	biological replicate 2	plant metagenome	ILLUMINA	martes, 9 de junio de 2020	R17_S84_Semi_Arid_BA_2_Root_Spineless	SRP174342	255	18.06667	512	200	29	na	6.85	0.26	0.7	5.14	103.63	0.95	Xerophyte	VR	33	24	43	light clay	1.4	4	1.25	56	28	100	28.3	7.6	0.2	2
SRR8365849	OTHER	589	16153457	PRJNA511384	SAMN10639376	MIMS.me,MIGS/MIMS/MIMARKS.plant-associated	9595947	CENTRE OF BIOTECHNOLOGY OF BORJ CEDRIA (TUNISIA)	01/04/2015	public	sra,fastq	gs,ncbi,s3	ncbi.public,gs.US,s3.us-east-1	agricultural field	Rhizosphere	Soil	SRX5176213	Tunisia	Afroeurasia	Tunisia:Sidi Bouzid	Opuntia ficus-indica	Cactaceae	Caryophyllales	Perennial	Illumina MiSeq	Root of Opuntia ficus indica 12	35.31 N 9.27 E	35.31	9.27	R12_S29_Upper_Arid_SB_3_Root_Spineless	PAIRED	PCR	v3/v4	METAGENOMIC	biological replicate 3	plant metagenome	ILLUMINA	martes, 9 de junio de 2020	R12_S29_Upper_Arid_SB_3_Root_Spineless	SRP174342	474	19.04583	289	87	35	na	8	1.44	0.46	0.92	170.45	20.55	Xerophyte	CL	74	13	13	sandy loam	1.4	21	1	8	5	100	5	43.4	0.2	5
SRR8365850	OTHER	571	39718638	PRJNA511384	SAMN10639372	MIMS.me,MIGS/MIMS/MIMARKS.plant-associated	22781192	CENTRE OF BIOTECHNOLOGY OF BORJ CEDRIA (TUNISIA)	01/04/2015	public	fastq,sra	s3,gs,ncbi	ncbi.public,s3.us-east-1,gs.US	agricultural field	Rhizosphere	Soil	SRX5176211	Tunisia	Afroeurasia	Tunisia:Kasserin	Opuntia ficus-indica	Cactaceae	Caryophyllales	Perennial	Illumina MiSeq	Root of Opuntia ficus indica 8	35.22 N 8.46 E	35.22	8.46	R8_S77_Upper_Arid_KS_5_Root_Spineless	PAIRED	PCR	v3/v4	METAGENOMIC	biological replicate 5	plant metagenome	ILLUMINA	martes, 9 de junio de 2020	R8_S77_Upper_Arid_KS_5_Root_Spineless	SRP174342	1130	14.55417	391	126	60	na	7.61	0.54	0.7	1.21	50.75	4.3	Xerophyte	RG	57	28	15	sandy loam	1.34	9	0.2	64	10	100	10.3	8.5	0.9	3
SRR8365851	OTHER	491	23420084	PRJNA511384	SAMN10639373	MIMS.me,MIGS/MIMS/MIMARKS.plant-associated	13103063	CENTRE OF BIOTECHNOLOGY OF BORJ CEDRIA (TUNISIA)	01/04/2015	public	sra,fastq	gs,ncbi,s3	ncbi.public,gs.US,s3.us-east-1	agricultural field	Rhizosphere	Soil	SRX5176210	Tunisia	Afroeurasia	Tunisia:Kasserin	Opuntia ficus-indica	Cactaceae	Caryophyllales	Perennial	Illumina MiSeq	Root of Opuntia ficus indica 9	35.29 N 8.66 E	35.29	8.66	R9_S78_Upper_Arid_KS_6_Root_Spineless	PAIRED	PCR	v3/v4	METAGENOMIC	biological replicate 6	plant metagenome	ILLUMINA	martes, 9 de junio de 2020	R9_S78_Upper_Arid_KS_6_Root_Spineless	SRP174342	692	17.11667	310	95	49	na	6.74	0.59	0.4	0.72	50.75	5	Xerophyte	VR	7	22	71	heavy clay	1.21	4	1.2	68	52	100	52	17.5	0.2	1
SRR8365852	OTHER	574	67734454	PRJNA511384	SAMN10639371	MIMS.me,MIGS/MIMS/MIMARKS.plant-associated	38864986	CENTRE OF BIOTECHNOLOGY OF BORJ CEDRIA (TUNISIA)	01/04/2015	public	fastq,sra	s3,gs,ncbi	ncbi.public,s3.us-east-1,gs.US	agricultural field	Rhizosphere	Soil	SRX5176212	Tunisia	Afroeurasia	Tunisia:Kasserin	Opuntia ficus-indica	Cactaceae	Caryophyllales	Perennial	Illumina MiSeq	Root of Opuntia ficus indica 7	35.22 N 8.46 E	35.22	8.46	R7_S76_Upper_Arid_KS_4_Root_Spineless	PAIRED	PCR	v3/v4	METAGENOMIC	biological replicate 4	plant metagenome	ILLUMINA	martes, 9 de junio de 2020	R7_S76_Upper_Arid_KS_4_Root_Spineless	SRP174342	1130	14.55417	391	126	60	na	6.42	0.74	0.88	1	51.84	4.45	Xerophyte	RG	57	28	15	sandy loam	1.34	9	0.2	64	10	100	10.3	8.5	0.9	3
